45976	0.51
45978	0.51
45980	0.51
45982	1.22
45984	1.22
45986	1.22
45988	1.22
45990	1.22
45992	1.22
45995	1.22
45997	1.22
45999	1.22
46001	1.22
46003	1.22
46005	1.22
46007	1.22
46009	1.22
46011	1.22
46013	1.22
46015	0.29
46017	0.29
46019	0.29
46021	0.29
46023	0.29
46025	0.29
46027	0.29
46029	0.29
46031	0.29
46033	0.29
46035	0.29
46038	0.29
46040	0.29
46042	0.29
46043	0.29
46045	0.29
46048	0.12
46049	0.12
46051	0.12
46053	0.12
46055	0.12
46057	0.12
46059	0.12
46061	0.12
46063	0.12
46065	0.12
46067	0.12
46069	0.12
46071	0.12
46073	0.12
46075	0.12
46077	0.12
46080	0.00
46082	0.00
46084	0.00
46086	0.00
46088	0.00
46090	0.00
46092	0.00
46094	0.00
46096	0.00
46098	0.00
46100	0.00
46102	0.00
46104	0.00
46106	0.00
46108	0.00
46110	0.00
46112	0.27
46114	0.27
46116	0.27
46118	0.27
46120	0.27
46123	0.27
46125	0.27
46127	0.27
46129	0.27
46131	0.27
46133	0.27
46135	0.27
46137	0.27
46139	0.27
46141	0.27
46143	0.27
46145	0.32
46147	0.32
46149	0.32
46151	0.32
46153	0.32
46155	0.32
46157	0.32
46159	0.32
46161	0.32
46163	0.32
46166	0.32
46168	0.32
46170	0.32
46172	0.32
46174	0.32
46176	0.32
46178	0.42
46180	0.42
46182	0.42
46184	0.42
46186	0.42
46188	0.42
46190	0.42
46192	0.42
46194	0.42
46196	0.42
46198	0.42
46200	0.42
46202	0.42
46204	0.42
46206	0.42
46209	0.42
46211	0.02
46213	0.02
46215	0.02
46217	0.02
46219	0.02
46221	0.02
46223	0.02
46225	0.02
46227	0.02
46229	0.02
46231	0.02
46233	0.02
46235	0.02
46237	0.02
46239	0.02
46241	0.02
46243	0.63
46245	0.63
46247	0.63
46249	0.63
46252	0.63
46254	0.63
46256	0.63
46258	0.63
46260	0.63
46262	0.63
46264	0.63
46266	0.63
46268	0.63
46270	0.63
46272	0.63
46274	0.63
46276	0.10
46278	0.10
46280	0.10
46282	0.10
46284	0.10
46286	0.10
46288	0.10
46290	0.10
46292	0.10
46295	0.10
46297	0.10
46299	0.10
46301	0.10
46303	0.10
46304	0.10
46306	0.10
46308	0.15
46310	0.15
46312	0.15
46314	0.15
46316	0.15
46318	0.15
46320	0.15
46322	0.15
46324	0.15
46326	0.15
46328	0.15
46330	0.15
46332	0.15
46334	0.15
46337	0.15
46339	0.15
46341	0.05
46343	0.05
46345	0.05
46347	0.05
46349	0.05
46351	0.05
46353	0.05
46355	0.05
46357	0.05
46359	0.05
46361	0.05
46363	0.05
46365	0.05
46367	0.05
46369	0.05
46371	0.05
46373	0.00
46375	0.00
46377	0.00
46380	0.00
46382	0.00
46384	0.00
46386	0.00
46388	0.00
46390	0.00
46392	0.00
46394	0.00
46396	0.00
46398	0.00
46400	0.00
46402	0.00
46404	0.00
46406	0.05
46408	0.05
46410	0.05
46412	0.05
46414	0.05
46416	0.05
46418	0.05
46420	0.05
46423	0.05
46425	0.05
46427	0.05
46429	0.05
46431	0.05
46433	0.05
46435	0.05
46437	0.05
46439	0.00
46441	0.00
46443	0.00
46445	0.00
46447	0.00
46449	0.00
46451	0.00
46453	0.00
46455	0.00
46457	0.00
46459	0.00
46461	0.00
46464	0.00
46466	0.00
46468	0.00
46470	0.00
46472	0.07
46474	0.07
46476	0.07
46478	0.07
46480	0.07
46482	0.07
46484	0.07
46486	0.07
46488	0.07
46490	0.07
46492	0.07
46494	0.07
46496	0.07
46498	0.07
46500	0.07
46502	0.07
46504	0.00
46507	0.00
46509	0.00
46511	0.00
46513	0.00
46515	0.00
46517	0.00
46519	0.00
46521	0.00
46523	0.00
46525	0.00
46527	0.00
46529	0.00
46531	0.00
46533	0.00
46535	0.00
46537	0.71
46539	0.71
46541	0.71
46543	0.71
46545	0.71
46547	0.71
46550	0.71
46552	0.71
46554	0.71
46556	0.71
46558	0.71
46560	0.71
46562	0.71
46564	0.71
46565	0.71
46567	0.71
46570	0.05
46571	0.05
46573	0.05
46575	0.05
46577	0.05
46579	0.05
46581	0.05
46583	0.05
46585	0.05
46587	0.05
46589	0.05
46592	0.05
46594	0.05
46596	0.05
46598	0.05
46600	0.05
46602	0.00
46604	0.00
46606	0.00
46608	0.00
46610	0.00
46612	0.00
46614	0.00
46616	0.00
46618	0.00
46620	0.00
46622	0.00
46624	0.00
